company,fy_end_date,fy_year,sales_cr,net_profit_cr,pbt_cr,sales_yoy_growth_pct
Britannia,2017-03-31,2017,9054.09,884.47,1304.0,
Britannia,2018-03-31,2018,9913.99,1004.23,1518.18,9.5
Britannia,2019-03-31,2019,11054.67,1159.12,1767.93,11.51
Britannia,2020-03-31,2020,11599.55,1402.63,1844.3,4.93
Britannia,2021-03-31,2021,13136.14,1863.9,2513.61,13.25
Britannia,2022-03-31,2022,14136.26,1524.82,2078.33,7.61
Britannia,2023-03-31,2023,16300.55,2321.77,3032.77,15.31
Britannia,2024-03-31,2024,16769.27,2139.81,2913.47,2.88
Britannia,2025-03-31,2025,17942.67,2178.73,2926.57,7.0
Britannia,2026-03-31,2026,19151.59,2533.49,3288.78,6.74
Dabur,2017-03-31,2017,7613.59,1276.94,1610.65,
Dabur,2018-03-31,2018,7721.85,1354.39,1693.09,1.42
Dabur,2019-03-31,2019,8514.99,1442.33,1724.87,10.27
Dabur,2020-03-31,2020,8684.64,1444.96,1727.64,1.99
Dabur,2021-03-31,2021,9561.65,1693.3,2056.02,10.1
Dabur,2022-03-31,2022,10888.68,1739.22,2268.68,13.88
Dabur,2023-03-31,2023,11529.89,1707.15,2218.68,5.89
Dabur,2024-03-31,2024,12404.01,1842.68,2358.74,7.58
Dabur,2025-03-31,2025,12563.09,1767.63,2257.89,1.28
Dabur,2026-03-31,2026,13192.57,1895.03,2420.43,5.01
Godrej,2017-03-31,2017,9267.91,1304.08,1687.13,
Godrej,2018-03-31,2018,9847.43,1634.18,2038.88,6.25
Godrej,2019-03-31,2019,10314.34,2341.53,2085.33,4.74
Godrej,2020-03-31,2020,9910.8,1496.58,1760.4,-3.91
Godrej,2021-03-31,2021,11028.62,1720.82,2080.36,11.28
Godrej,2022-03-31,2022,12276.5,1783.39,2155.26,11.31
Godrej,2023-03-31,2023,13315.97,1702.46,2132.73,8.47
Godrej,2024-03-31,2024,14096.11,-560.55,198.23,5.86
Godrej,2025-03-31,2025,14364.29,1852.3,2671.89,1.9
Godrej,2026-03-31,2026,15177.9,1861.47,2590.16,5.66
HUL,2016-03-31,2016,32186.0,4151.0,6026.0,
HUL,2017-03-31,2017,33162.0,4476.0,6467.0,3.03
HUL,2018-03-31,2018,35545.0,5214.0,7306.0,7.19
HUL,2019-03-31,2019,39310.0,6054.0,8604.0,10.59
HUL,2020-03-31,2020,39783.0,6748.0,9165.0,1.2
HUL,2021-03-31,2021,47028.0,7995.0,10605.0,18.21
HUL,2022-03-31,2022,52446.0,8879.0,11879.0,11.52
HUL,2023-03-31,2023,60580.0,10120.0,13344.0,15.51
HUL,2024-03-31,2024,61896.0,10277.0,13926.0,2.17
HUL,2025-03-31,2025,63121.0,10649.0,14415.0,1.98
ITC,2017-03-31,2017,42767.6,10289.44,16026.32,
ITC,2018-03-31,2018,43448.94,11271.2,17409.11,1.59
ITC,2019-03-31,2019,48339.58,12592.33,19149.82,11.26
ITC,2020-03-31,2020,49387.7,15306.23,20034.57,2.17
ITC,2021-03-31,2021,49257.45,13161.19,17938.17,-0.26
ITC,2022-03-31,2022,60644.54,15242.66,20740.47,23.12
ITC,2023-03-31,2023,70919.03,19191.66,25915.12,16.94
ITC,2024-03-31,2024,67931.94,20458.78,26960.82,-4.21
ITC,2025-03-31,2025,75323.34,34746.63,41942.95,10.88
ITC,2026-03-31,2026,78868.4,20689.47,28033.39,4.71
Marico,2017-03-31,2017,5917.79,798.59,1148.7,
Marico,2018-03-31,2018,6322.0,814.0,1117.0,6.83
Marico,2019-03-31,2019,7334.0,1114.0,1257.0,16.01
Marico,2020-03-31,2020,7315.0,1021.0,1374.0,-0.26
Marico,2021-03-31,2021,8048.0,1172.0,1523.0,10.02
Marico,2022-03-31,2022,9512.0,1225.0,1601.0,18.19
Marico,2023-03-31,2023,9764.0,1302.0,1743.0,2.65
Marico,2024-03-31,2024,9653.0,1481.0,1937.0,-1.14
Marico,2025-03-31,2025,10831.0,1629.0,2116.0,12.2
Marico,2026-03-31,2026,13611.0,1762.0,2277.0,25.67
Nestle,2017-12-31,2017,10009.6,1225.19,1839.3,
Nestle,2018-12-31,2018,11292.27,1606.93,2428.95,12.81
Nestle,2019-12-31,2019,12368.9,1968.44,2673.49,9.53
Nestle,2020-12-31,2020,13350.03,2082.43,2812.79,7.93
Nestle,2021-12-31,2021,14740.59,2118.41,2857.32,10.42
Nestle,2022-12-31,2022,16896.96,2390.52,3255.97,14.63
Nestle,2023-12-31,2023,19126.3,2998.67,4038.29,13.19
Nestle,2024-03-31,2024,24393.89,3932.84,5288.87,27.54
Nestle,2025-03-31,2025,20201.56,3314.5,4447.47,-17.19
Nestle,2026-03-31,2026,23154.6,3544.6,4609.65,14.62
