company,quarter_end,year,quarter,sales_cr,net_profit_cr,op_profit_cr,sales_qoq_growth_pct
Britannia,2023-12-31,2023,4,4256.33,202.57,556.39,
Britannia,2024-03-31,2024,1,4069.36,198.01,538.28,-4.39
Britannia,2024-06-30,2024,2,4250.29,176.22,505.64,4.45
Britannia,2024-09-30,2024,3,4667.57,183.6,531.45,9.82
Britannia,2024-12-31,2024,4,4592.61,196.08,581.69,-1.61
Britannia,2025-03-31,2025,1,4432.19,192.8,559.95,-3.49
Britannia,2025-06-30,2025,2,4622.22,180.89,520.72,4.29
Britannia,2025-09-30,2025,3,4840.63,228.56,654.47,4.73
Britannia,2025-12-31,2025,4,4969.82,236.89,679.96,2.67
Britannia,2026-03-31,2026,1,4718.92,105.43,678.34,-5.05
Dabur,2023-12-31,2023,4,3255.06,154.97,514.22,
Dabur,2024-03-31,2024,1,2814.64,111.44,349.53,-13.53
Dabur,2024-06-30,2024,2,3349.11,148.1,500.12,18.99
Dabur,2024-09-30,2024,3,3028.59,128.43,425.0,-9.57
Dabur,2024-12-31,2024,4,3355.25,141.76,522.38,10.79
Dabur,2025-03-31,2025,1,2830.14,99.18,320.13,-15.65
Dabur,2025-06-30,2025,2,3404.58,154.33,513.91,20.3
Dabur,2025-09-30,2025,3,3191.32,128.23,452.55,-6.26
Dabur,2025-12-31,2025,4,3558.65,157.5,559.97,11.51
Dabur,2026-03-31,2026,1,3038.02,111.68,368.6,-14.63
Godrej,2023-12-31,2023,4,3659.64,202.38,581.06,
Godrej,2024-03-31,2024,1,3385.61,208.74,-1893.21,-7.49
Godrej,2024-06-30,2024,2,3331.58,193.34,450.69,-1.6
Godrej,2024-09-30,2024,3,3666.33,215.35,491.31,10.05
Godrej,2024-12-31,2024,4,3768.43,183.39,498.31,2.78
Godrej,2025-03-31,2025,1,3514.23,227.51,411.9,-6.75
Godrej,2025-06-30,2025,2,3661.86,161.25,452.45,4.2
Godrej,2025-09-30,2025,3,3825.09,165.67,459.34,4.46
Godrej,2025-12-31,2025,4,3997.95,202.07,497.91,4.52
Godrej,2026-03-31,2026,1,3900.44,199.7,451.77,-2.44
HUL,2023-09-30,2023,3,15623.0,931.0,2656.0,
HUL,2023-12-31,2023,4,15567.0,937.0,2509.0,-0.36
HUL,2024-03-31,2024,1,15210.0,858.0,2558.0,-2.29
HUL,2024-06-30,2024,2,15707.0,917.0,2610.0,3.27
HUL,2024-09-30,2024,3,15926.0,947.0,2591.0,1.39
HUL,2024-12-31,2024,4,15556.0,1006.0,2984.0,-2.32
HUL,2025-03-31,2025,1,15670.0,887.0,2464.0,0.73
HUL,2025-06-30,2025,2,16514.0,535.0,2756.0,5.39
HUL,2025-09-30,2025,3,15919.0,911.0,2685.0,-3.6
HUL,2025-12-31,2025,4,16441.0,801.0,6607.0,3.28
ITC,2023-12-31,2023,4,17195.24,1227.99,5335.23,
ITC,2024-03-31,2024,1,17037.8,1583.55,5120.55,-0.92
ITC,2024-06-30,2024,2,17777.81,1726.25,5091.59,4.34
ITC,2024-09-30,2024,3,19990.36,1757.05,4992.87,12.45
ITC,2024-12-31,2024,4,18790.17,1726.32,4934.8,-6.0
ITC,2025-03-31,2025,1,18765.0,1680.85,19727.37,-0.13
ITC,2025-06-30,2025,2,21494.79,1784.6,5244.2,14.55
ITC,2025-09-30,2025,3,19501.63,1792.13,5126.11,-9.27
ITC,2025-12-31,2025,4,20047.3,1735.63,4931.19,2.8
ITC,2026-03-31,2026,1,17824.68,1702.88,5387.97,-11.09
Marico,2023-12-31,2023,4,2422.0,109.0,383.0,
Marico,2024-03-31,2024,1,2278.0,79.0,318.0,-5.95
Marico,2024-06-30,2024,2,2643.0,131.0,464.0,16.02
Marico,2024-09-30,2024,3,2664.0,119.0,423.0,0.79
Marico,2024-12-31,2024,4,2794.0,112.0,399.0,4.88
Marico,2025-03-31,2025,1,2730.0,96.0,343.0,-2.29
Marico,2025-06-30,2025,2,3259.0,143.0,504.0,19.38
Marico,2025-09-30,2025,3,3482.0,118.0,420.0,6.84
Marico,2025-12-31,2025,4,3537.0,107.0,447.0,1.58
Marico,2026-03-31,2026,1,3333.0,96.0,391.0,-5.77
Nestle,2023-12-31,2023,4,4600.42,230.87,655.61,
Nestle,2024-03-31,2024,1,5267.59,316.41,934.17,14.5
Nestle,2024-06-30,2024,2,4813.95,262.46,746.6,-8.61
Nestle,2024-09-30,2024,3,5104.0,325.23,986.36,6.03
Nestle,2024-12-31,2024,4,4779.73,226.13,696.13,-6.35
Nestle,2025-03-31,2025,1,5503.88,319.15,885.41,15.15
Nestle,2025-06-30,2025,2,5096.16,241.24,659.23,-7.41
Nestle,2025-09-30,2025,3,5643.61,275.32,753.2,10.74
Nestle,2025-12-31,2025,4,5667.04,150.01,1018.06,0.42
Nestle,2026-03-31,2026,1,6747.79,398.48,1114.11,19.07
