month_year,date,year,month,total_collection_crore,yoy_growth_pct
Jul-17,2017-07-01,2017,7,53.0,
Aug-17,2017-08-01,2017,8,72017.0,
Sep-17,2017-09-01,2017,9,69413.0,
Oct-17,2017-10-01,2017,10,70477.0,
Nov-17,2017-11-01,2017,11,63071.0,
Dec-17,2017-12-01,2017,12,62838.0,
Jan-18,2018-01-01,2018,1,67483.0,
Feb-18,2018-02-01,2018,2,65699.0,
Mar-18,2018-03-01,2018,3,68998.0,
Apr-18,2018-04-01,2018,4,81500.0,
May-18,2018-05-01,2018,5,68704.0,
Jun-18,2018-06-01,2018,6,70343.0,
Jul-18,2018-07-01,2018,7,70837.0,133554.72
Aug-18,2018-08-01,2018,8,66599.0,-7.52
Sep-18,2018-09-01,2018,9,68365.0,-1.51
Oct-18,2018-10-01,2018,10,72847.0,3.36
Nov-18,2018-11-01,2018,11,72662.0,15.21
Dec-18,2018-12-01,2018,12,70252.0,11.8
Jan-19,2019-01-01,2019,1,77545.0,14.91
Feb-19,2019-02-01,2019,2,74952.0,14.08
Mar-19,2019-03-01,2019,3,82165.0,19.08
Apr-19,2019-04-01,2019,4,89523.0,9.84
May-19,2019-05-01,2019,5,74461.0,8.38
Jun-19,2019-06-01,2019,6,77083.0,9.58
Jul-19,2019-07-01,2019,7,77040.0,8.76
Aug-19,2019-08-01,2019,8,72543.0,8.93
Sep-19,2019-09-01,2019,9,69091.0,1.06
Oct-19,2019-10-01,2019,10,73159.0,0.43
Nov-19,2019-11-01,2019,11,81674.0,12.4
Dec-19,2019-12-01,2019,12,81042.0,15.36
Jan-20,2020-01-01,2020,1,86512.0,11.56
Feb-20,2020-02-01,2020,2,83581.0,11.51
Mar-20,2020-03-01,2020,3,78694.0,-4.22
Apr-20,2020-04-01,2020,4,19606.0,-78.1
May-20,2020-05-01,2020,5,44883.0,-39.72
Jun-20,2020-06-01,2020,6,74602.0,-3.22
Jul-20,2020-07-01,2020,7,66291.0,-13.95
Aug-20,2020-08-01,2020,8,66598.0,-8.2
Sep-20,2020-09-01,2020,9,72250.0,4.57
Oct-20,2020-10-01,2020,10,80848.0,10.51
Nov-20,2020-11-01,2020,11,82075.0,0.49
Dec-20,2020-12-01,2020,12,87153.0,7.54
Jan-21,2021-01-01,2021,1,91565.0,5.84
Feb-21,2021-02-01,2021,2,88102.0,5.41
Mar-21,2021-03-01,2021,3,91870.0,16.74
Apr-21,2021-04-01,2021,4,110804.0,465.15
May-21,2021-05-01,2021,5,70951.0,58.08
Jun-21,2021-06-01,2021,6,66229.0,-11.22
Jul-21,2021-07-01,2021,7,87678.0,32.26
Aug-21,2021-08-01,2021,8,84490.0,26.87
Sep-21,2021-09-01,2021,9,86832.0,20.18
Oct-21,2021-10-01,2021,10,96430.0,19.27
Nov-21,2021-11-01,2021,11,98708.0,20.27
Dec-21,2021-12-01,2021,12,91639.0,5.15
Jan-22,2022-01-01,2022,1,103251.0,12.76
Feb-22,2022-02-01,2022,2,98551.0,11.86
Mar-22,2022-03-01,2022,3,101983.0,11.01
Apr-22,2022-04-01,2022,4,129978.0,17.3
May-22,2022-05-01,2022,5,102485.0,44.44
Jun-22,2022-06-01,2022,6,103317.0,56.0
Jul-22,2022-07-01,2022,7,106581.0,21.56
Aug-22,2022-08-01,2022,8,100526.0,18.98
Sep-22,2022-09-01,2022,9,105615.0,21.63
Oct-22,2022-10-01,2022,10,113596.0,17.8
Nov-22,2022-11-01,2022,11,106416.0,7.81
Dec-22,2022-12-01,2022,12,108394.0,18.28
Jan-23,2023-01-01,2023,1,118322.0,14.6
Feb-23,2023-02-01,2023,2,113096.0,14.76
Mar-23,2023-03-01,2023,3,116659.0,14.39
Apr-23,2023-04-01,2023,4,151162.0,16.3
May-23,2023-05-01,2023,5,114261.0,11.49
Jun-23,2023-06-01,2023,6,121434.0,17.54
Jul-23,2023-07-01,2023,7,123026.0,15.43
Aug-23,2023-08-01,2023,8,114503.0,13.9
Sep-23,2023-09-01,2023,9,120686.0,14.27
Oct-23,2023-10-01,2023,10,128582.0,13.19
Nov-23,2023-11-01,2023,11,127695.0,20.0
Dec-23,2023-12-01,2023,12,122270.0,12.8
Jan-24,2024-01-01,2024,1,133705.0,13.0
Feb-24,2024-02-01,2024,2,128760.0,13.85
Mar-24,2024-03-01,2024,3,137166.0,17.58
Apr-24,2024-04-01,2024,4,171433.0,13.41
May-24,2024-05-01,2024,5,131783.0,15.34
Jun-24,2024-06-01,2024,6,132800.0,9.36
Jul-24,2024-07-01,2024,7,134036.0,8.95
Aug-24,2024-08-01,2024,8,124985.0,9.15
Sep-24,2024-09-01,2024,9,127850.0,5.94
Oct-24,2024-10-01,2024,10,142251.0,10.63
Nov-24,2024-11-01,2024,11,139678.0,9.38
Dec-24,2024-12-01,2024,12,132589.0,8.44
