cal_year,quarter,total_gst_crore,months_in_quarter,qoq_growth_pct,yoy_growth_pct
2017,3,141483.0,3,,
2017,4,196386.0,3,38.81,
2018,1,202180.0,3,2.95,
2018,2,220547.0,3,9.08,
2018,3,205801.0,3,-6.69,45.46
2018,4,215761.0,3,4.84,9.87
2019,1,234662.0,3,8.76,16.07
2019,2,241067.0,3,2.73,9.3
2019,3,218674.0,3,-9.29,6.26
2019,4,235875.0,3,7.87,9.32
2020,1,248787.0,3,5.47,6.02
2020,2,139091.0,3,-44.09,-42.3
2020,3,205139.0,3,47.49,-6.19
2020,4,250076.0,3,21.91,6.02
2021,1,271537.0,3,8.58,9.14
2021,2,247984.0,3,-8.67,78.29
2021,3,259000.0,3,4.44,26.26
2021,4,286777.0,3,10.72,14.68
2022,1,303785.0,3,5.93,11.88
2022,2,335780.0,3,10.53,35.4
2022,3,312722.0,3,-6.87,20.74
2022,4,328406.0,3,5.02,14.52
2023,1,348077.0,3,5.99,14.58
2023,2,386857.0,3,11.14,15.21
2023,3,358215.0,3,-7.4,14.55
2023,4,378547.0,3,5.68,15.27
2024,1,399631.0,3,5.57,14.81
2024,2,436016.0,3,9.1,12.71
2024,3,386871.0,3,-11.27,8.0
2024,4,414518.0,3,7.15,9.5
