year,quarter,end_price,start_price,trading_days,quarterly_return_pct,company
2017,3,1027.2861328125,960.6470947265624,63,,HUL
2017,4,1204.8018798828125,1038.18115234375,62,17.2801,HUL
2018,1,1174.4141845703125,1184.2354736328125,60,-2.5222,HUL
2018,2,1456.431396484375,1190.224609375,64,24.0134,HUL
2018,3,1427.36767578125,1458.4725341796875,61,-1.9955,HUL
2018,4,1624.0565185546875,1457.451904296875,61,13.7798,HUL
2019,1,1502.8984375,1607.5006103515625,60,-7.4602,HUL
2019,2,1606.9827880859375,1508.3427734375,60,6.9256,HUL
2019,3,1781.6956787109375,1600.330322265625,62,10.8721,HUL
2019,4,1737.68701171875,1789.2020263671875,61,-2.47,HUL
2020,1,2077.001708984375,1749.9315185546875,63,19.5268,HUL
2020,2,1983.365234375,1969.604736328125,59,-4.5083,HUL
2020,3,1889.7408447265625,1974.6309814453125,66,-4.7205,HUL
2020,4,2202.82275390625,1914.18212890625,63,16.5675,HUL
2021,1,2236.020751953125,2195.60400390625,61,1.5071,HUL
2021,2,2289.064697265625,2206.225830078125,61,2.3722,HUL
2021,3,2502.567626953125,2295.2705078125,63,9.3271,HUL
2021,4,2199.545166015625,2504.651123046875,63,-12.1085,HUL
2022,1,1909.2423095703125,2200.616943359375,61,-13.1983,HUL
2022,2,2097.1650390625,1936.7349853515625,62,9.8428,HUL
2022,3,2535.147705078125,2145.8193359375,63,20.8845,HUL
2022,4,2424.003173828125,2465.621337890625,62,-4.3841,HUL
2023,1,2423.340576171875,2421.49462890625,62,-0.0273,HUL
2023,2,2555.53955078125,2400.38818359375,60,5.4552,HUL
2023,3,2352.720458984375,2577.39111328125,63,-7.9364,HUL
2023,4,2560.63330078125,2355.869140625,60,8.8371,HUL
2024,1,2176.53125,2551.7900390625,60,-15.0003,HUL
2024,2,2400.296630859375,2197.2451171875,60,10.2808,HUL
2024,3,2871.271240234375,2431.40380859375,64,19.6215,HUL
2024,4,2301.0234375,2837.737548828125,61,-19.8605,HUL
2017,3,180.84483337402344,239.79617309570312,63,,ITC
2017,4,184.3105010986328,183.01524353027344,62,1.9164,ITC
2018,1,178.8844757080078,183.64537048339844,60,-2.944,ITC
2018,2,190.0746154785156,180.8098602294922,64,6.2555,ITC
2018,3,212.6022186279297,187.82537841796875,61,11.852,ITC
2018,4,201.10633850097656,212.1381072998047,61,-5.4072,ITC
2019,1,214.2087860107422,201.8560943603516,60,6.5152,ITC
2019,2,199.4299774169922,212.24517822265625,60,-6.8993,ITC
2019,3,189.23455810546875,200.23106384277344,62,-5.1123,ITC
2019,4,173.1039276123047,186.35797119140625,61,-8.5241,ITC
2020,1,125.03972625732422,173.39523315429688,63,-27.7661,ITC
2020,2,141.75294494628906,121.18002319335938,59,13.3663,ITC
2020,3,131.72994995117188,147.76097106933594,66,-7.0707,ITC
2020,4,160.34683227539062,131.0778045654297,63,21.7239,ITC
2021,1,171.7655029296875,164.06784057617188,61,7.1212,ITC
2021,2,163.95213317871094,172.9839630126953,61,-4.5489,ITC
2021,3,191.0078582763672,164.1947784423828,63,16.5022,ITC
2021,4,176.3678436279297,190.36080932617188,63,-7.6646,ITC
2022,1,207.60552978515625,177.21713256835938,61,17.7117,ITC
2022,2,232.05474853515625,209.80044555664065,62,11.7768,ITC
2022,3,281.8594970703125,241.2605743408203,63,21.4625,ITC
2022,4,281.3080139160156,275.2415466308594,62,-0.1957,ITC
2023,1,330.7182006835937,282.4110717773437,62,17.5644,ITC
2023,2,398.1930541992188,326.7512512207031,60,20.4025,ITC
2023,3,391.844482421875,408.46527099609375,63,-1.5943,ITC
2023,4,407.4512939453125,387.7444458007813,60,3.9829,ITC
2024,1,383.4566345214844,412.6976013183594,60,-5.889,ITC
2024,2,387.3793640136719,381.97955322265625,60,1.023,ITC
2024,3,472.3949279785156,391.1628723144531,64,21.9463,ITC
2024,4,434.8786926269531,470.6170959472656,61,-7.9417,ITC
2017,3,1921.9234619140625,1629.26171875,63,,Britannia
2017,4,2083.402099609375,1920.065185546875,62,8.4019,Britannia
2018,1,2199.025146484375,2096.2314453125,60,5.5497,Britannia
2018,2,2749.002197265625,2259.39111328125,64,25.01,Britannia
2018,3,2586.37744140625,2757.49658203125,61,-5.9158,Britannia
