month_year,date,year,month,gst_crore,yoy_growth_pct,quarter,gst_billion
Jul-17,2017-07-01,2017,7,53.0,,3,0.53
Aug-17,2017-08-01,2017,8,72017.0,,3,720.17
Sep-17,2017-09-01,2017,9,69413.0,,3,694.13
Oct-17,2017-10-01,2017,10,70477.0,,4,704.77
Nov-17,2017-11-01,2017,11,63071.0,,4,630.71
Dec-17,2017-12-01,2017,12,62838.0,,4,628.38
Jan-18,2018-01-01,2018,1,67483.0,,1,674.83
Feb-18,2018-02-01,2018,2,65699.0,,1,656.99
Mar-18,2018-03-01,2018,3,68998.0,,1,689.98
Apr-18,2018-04-01,2018,4,81500.0,,2,815.0
May-18,2018-05-01,2018,5,68704.0,,2,687.04
Jun-18,2018-06-01,2018,6,70343.0,,2,703.43
Jul-18,2018-07-01,2018,7,70837.0,133554.72,3,708.37
Aug-18,2018-08-01,2018,8,66599.0,-7.52,3,665.99
Sep-18,2018-09-01,2018,9,68365.0,-1.51,3,683.65
Oct-18,2018-10-01,2018,10,72847.0,3.36,4,728.47
Nov-18,2018-11-01,2018,11,72662.0,15.21,4,726.62
Dec-18,2018-12-01,2018,12,70252.0,11.8,4,702.52
Jan-19,2019-01-01,2019,1,77545.0,14.91,1,775.45
Feb-19,2019-02-01,2019,2,74952.0,14.08,1,749.52
Mar-19,2019-03-01,2019,3,82165.0,19.08,1,821.65
Apr-19,2019-04-01,2019,4,89523.0,9.84,2,895.23
May-19,2019-05-01,2019,5,74461.0,8.38,2,744.61
Jun-19,2019-06-01,2019,6,77083.0,9.58,2,770.83
Jul-19,2019-07-01,2019,7,77040.0,8.76,3,770.4
Aug-19,2019-08-01,2019,8,72543.0,8.93,3,725.43
Sep-19,2019-09-01,2019,9,69091.0,1.06,3,690.91
Oct-19,2019-10-01,2019,10,73159.0,0.43,4,731.59
Nov-19,2019-11-01,2019,11,81674.0,12.4,4,816.74
Dec-19,2019-12-01,2019,12,81042.0,15.36,4,810.42
Jan-20,2020-01-01,2020,1,86512.0,11.56,1,865.12
Feb-20,2020-02-01,2020,2,83581.0,11.51,1,835.81
Mar-20,2020-03-01,2020,3,78694.0,-4.22,1,786.94
Apr-20,2020-04-01,2020,4,19606.0,-78.1,2,196.06
May-20,2020-05-01,2020,5,44883.0,-39.72,2,448.83
Jun-20,2020-06-01,2020,6,74602.0,-3.22,2,746.02
Jul-20,2020-07-01,2020,7,66291.0,-13.95,3,662.91
Aug-20,2020-08-01,2020,8,66598.0,-8.2,3,665.98
Sep-20,2020-09-01,2020,9,72250.0,4.57,3,722.5
Oct-20,2020-10-01,2020,10,80848.0,10.51,4,808.48
Nov-20,2020-11-01,2020,11,82075.0,0.49,4,820.75
Dec-20,2020-12-01,2020,12,87153.0,7.54,4,871.53
Jan-21,2021-01-01,2021,1,91565.0,5.84,1,915.65
Feb-21,2021-02-01,2021,2,88102.0,5.41,1,881.02
Mar-21,2021-03-01,2021,3,91870.0,16.74,1,918.7
Apr-21,2021-04-01,2021,4,110804.0,465.15,2,1108.04
May-21,2021-05-01,2021,5,70951.0,58.08,2,709.51
Jun-21,2021-06-01,2021,6,66229.0,-11.22,2,662.29
Jul-21,2021-07-01,2021,7,87678.0,32.26,3,876.78
Aug-21,2021-08-01,2021,8,84490.0,26.87,3,844.9
Sep-21,2021-09-01,2021,9,86832.0,20.18,3,868.32
Oct-21,2021-10-01,2021,10,96430.0,19.27,4,964.3
Nov-21,2021-11-01,2021,11,98708.0,20.27,4,987.08
Dec-21,2021-12-01,2021,12,91639.0,5.15,4,916.39
Jan-22,2022-01-01,2022,1,103251.0,12.76,1,1032.51
Feb-22,2022-02-01,2022,2,98551.0,11.86,1,985.51
Mar-22,2022-03-01,2022,3,101983.0,11.01,1,1019.83
Apr-22,2022-04-01,2022,4,129978.0,17.3,2,1299.78
May-22,2022-05-01,2022,5,102485.0,44.44,2,1024.85
Jun-22,2022-06-01,2022,6,103317.0,56.0,2,1033.17
Jul-22,2022-07-01,2022,7,106581.0,21.56,3,1065.81
Aug-22,2022-08-01,2022,8,100526.0,18.98,3,1005.26
Sep-22,2022-09-01,2022,9,105615.0,21.63,3,1056.15
Oct-22,2022-10-01,2022,10,113596.0,17.8,4,1135.96
Nov-22,2022-11-01,2022,11,106416.0,7.81,4,1064.16
Dec-22,2022-12-01,2022,12,108394.0,18.28,4,1083.94
Jan-23,2023-01-01,2023,1,118322.0,14.6,1,1183.22
Feb-23,2023-02-01,2023,2,113096.0,14.76,1,1130.96
Mar-23,2023-03-01,2023,3,116659.0,14.39,1,1166.59
Apr-23,2023-04-01,2023,4,151162.0,16.3,2,1511.62
May-23,2023-05-01,2023,5,114261.0,11.49,2,1142.61
Jun-23,2023-06-01,2023,6,121434.0,17.54,2,1214.34
Jul-23,2023-07-01,2023,7,123026.0,15.43,3,1230.26
Aug-23,2023-08-01,2023,8,114503.0,13.9,3,1145.03
Sep-23,2023-09-01,2023,9,120686.0,14.27,3,1206.86
Oct-23,2023-10-01,2023,10,128582.0,13.19,4,1285.82
Nov-23,2023-11-01,2023,11,127695.0,20.0,4,1276.95
Dec-23,2023-12-01,2023,12,122270.0,12.8,4,1222.7
Jan-24,2024-01-01,2024,1,133705.0,13.0,1,1337.05
Feb-24,2024-02-01,2024,2,128760.0,13.85,1,1287.6
Mar-24,2024-03-01,2024,3,137166.0,17.58,1,1371.66
Apr-24,2024-04-01,2024,4,171433.0,13.41,2,1714.33
May-24,2024-05-01,2024,5,131783.0,15.34,2,1317.83
Jun-24,2024-06-01,2024,6,132800.0,9.36,2,1328.0
Jul-24,2024-07-01,2024,7,134036.0,8.95,3,1340.36
Aug-24,2024-08-01,2024,8,124985.0,9.15,3,1249.85
Sep-24,2024-09-01,2024,9,127850.0,5.94,3,1278.5
Oct-24,2024-10-01,2024,10,142251.0,10.63,4,1422.51
Nov-24,2024-11-01,2024,11,139678.0,9.38,4,1396.78
Dec-24,2024-12-01,2024,12,132589.0,8.44,4,1325.89
