year,quarter,total_gst_crore,qoq_growth_pct,yoy_growth_pct,period_label,gst_thousand_crore
2017,3,141483.0,,,2017-Q3,141.48
2017,4,196386.0,38.81,,2017-Q4,196.39
2018,1,202180.0,2.95,,2018-Q1,202.18
2018,2,220547.0,9.08,,2018-Q2,220.55
2018,3,205801.0,-6.69,45.46,2018-Q3,205.8
2018,4,215761.0,4.84,9.87,2018-Q4,215.76
2019,1,234662.0,8.76,16.07,2019-Q1,234.66
2019,2,241067.0,2.73,9.3,2019-Q2,241.07
2019,3,218674.0,-9.29,6.26,2019-Q3,218.67
2019,4,235875.0,7.87,9.32,2019-Q4,235.88
2020,1,248787.0,5.47,6.02,2020-Q1,248.79
2020,2,139091.0,-44.09,-42.3,2020-Q2,139.09
2020,3,205139.0,47.49,-6.19,2020-Q3,205.14
2020,4,250076.0,21.91,6.02,2020-Q4,250.08
2021,1,271537.0,8.58,9.14,2021-Q1,271.54
2021,2,247984.0,-8.67,78.29,2021-Q2,247.98
2021,3,259000.0,4.44,26.26,2021-Q3,259.0
2021,4,286777.0,10.72,14.68,2021-Q4,286.78
2022,1,303785.0,5.93,11.88,2022-Q1,303.79
2022,2,335780.0,10.53,35.4,2022-Q2,335.78
2022,3,312722.0,-6.87,20.74,2022-Q3,312.72
2022,4,328406.0,5.02,14.52,2022-Q4,328.41
2023,1,348077.0,5.99,14.58,2023-Q1,348.08
2023,2,386857.0,11.14,15.21,2023-Q2,386.86
2023,3,358215.0,-7.4,14.55,2023-Q3,358.22
2023,4,378547.0,5.68,15.27,2023-Q4,378.55
2024,1,399631.0,5.57,14.81,2024-Q1,399.63
2024,2,436016.0,9.1,12.71,2024-Q2,436.02
2024,3,386871.0,-11.27,8.0,2024-Q3,386.87
2024,4,414518.0,7.15,9.5,2024-Q4,414.52
