year,quarter,end_price,start_price,trading_days,quarterly_return_pct,company,cal_year,yoy_growth_pct,lagged_gst_yoy,lag2_gst_yoy,period_label,covid_flag,rolling_8q_corr
2018,4,1624.0565185546875,1457.451904296875,61,13.7798,HUL,2018,9.87,45.46,,2018-Q4,Normal,
2019,1,1502.8984375,1607.5006103515625,60,-7.4602,HUL,2019,16.07,9.87,45.46,2019-Q1,Normal,
2019,2,1606.9827880859375,1508.3427734375,60,6.9256,HUL,2019,9.3,16.07,9.87,2019-Q2,Normal,
2019,3,1781.6956787109375,1600.330322265625,62,10.8721,HUL,2019,6.26,9.3,16.07,2019-Q3,Normal,
2019,4,1737.68701171875,1789.2020263671875,61,-2.47,HUL,2019,9.32,6.26,9.3,2019-Q4,Normal,
2020,1,2077.001708984375,1749.9315185546875,63,19.5268,HUL,2020,6.02,9.32,6.26,2020-Q1,Normal,
2020,2,1983.365234375,1969.604736328125,59,-4.5083,HUL,2020,-42.3,6.02,9.32,2020-Q2,COVID Quarter,
2020,3,1889.7408447265625,1974.6309814453125,66,-4.7205,HUL,2020,-6.19,-42.3,6.02,2020-Q3,COVID Quarter,0.5109399545400582
2020,4,2202.82275390625,1914.18212890625,63,16.5675,HUL,2020,6.02,-6.19,-42.3,2020-Q4,Normal,0.24730935185073222
2021,1,2236.020751953125,2195.60400390625,61,1.5071,HUL,2021,9.14,6.02,-6.19,2021-Q1,Normal,0.35363761938004207
2021,2,2289.064697265625,2206.225830078125,61,2.3722,HUL,2021,78.29,9.14,6.02,2021-Q2,Normal,0.32104814993883635
2021,3,2502.567626953125,2295.2705078125,63,9.3271,HUL,2021,26.26,78.29,9.14,2021-Q3,Normal,0.3129774962323612
2021,4,2199.545166015625,2504.651123046875,63,-12.1085,HUL,2021,14.68,26.26,78.29,2021-Q4,Normal,0.15163139436977902
2022,1,1909.2423095703125,2200.616943359375,61,-13.1983,HUL,2022,11.88,14.68,26.26,2022-Q1,Normal,0.15511557651807073
2022,2,2097.1650390625,1936.7349853515625,62,9.8428,HUL,2022,35.4,11.88,14.68,2022-Q2,Normal,0.13761533938356368
2022,3,2535.147705078125,2145.8193359375,63,20.8845,HUL,2022,20.74,35.4,11.88,2022-Q3,Normal,0.10265470011994297
2022,4,2424.003173828125,2465.621337890625,62,-4.3841,HUL,2022,14.52,20.74,35.4,2022-Q4,Normal,0.34308606315497164
2023,1,2423.340576171875,2421.49462890625,62,-0.0273,HUL,2023,14.58,14.52,20.74,2023-Q1,Normal,0.3635479067803819
