REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2021-2022,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State,Financial Year 2021-22,,,,,Apr-21,,,,,May-21,,,,,Jun-21,,,,,Jul-21,,,,,Aug-21,,,,,Sep-21,,,,,Oct-21,,,,,Nov-21,,,,,Dec-21,,,,,Jan-22,,,,,Feb-22,,,,,Mar-22,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL
01,Jammu and Kashmir," 1,378 "," 2,066 "," 1,194 ", 54 ," 4,692 ", 150.80 , 244.63 , 109.02 , 4.42 , 508.86 , 60.74 , 93.22 , 74.39 , 3.68 , 232.03 , 75.58 , 123.78 , 95.25 , 5.13 , 299.75 , 112.07 , 182.95 , 129.40 , 7.36 , 431.78 , 102.62 , 154.29 , 126.34 , 8.57 , 391.83 , 106.98 , 162.33 , 101.08 , 6.79 , 377.19 , 240.44 , 298.35 , 104.66 , 4.89 , 648.34 , 110.59 , 161.09 , 107.35 , 3.79 , 382.81 , 95.92 , 143.84 , 78.84 , 1.40 , 320.00 , 112.93 , 198.36 , 91.16 , 2.23 , 404.68 , 96.86 , 136.46 , 90.67 , 2.43 , 326.42 , 112.42 , 166.71 , 85.65 , 3.62 , 368.40 
02,Himachal Pradesh," 1,381 "," 1,997 "," 4,629 ", 17 ," 8,023 ", 142.41 , 196.70 , 423.87 , 0.87 , 763.85 , 75.16 , 109.61 , 354.68 , 0.63 , 540.09 , 87.31 , 119.87 , 311.13 , 0.78 , 519.10 , 120.78 , 184.60 , 360.38 , 0.89 , 666.64 , 115.23 , 173.99 , 414.16 , 0.79 , 704.17 , 108.43 , 157.13 , 413.32 , 1.04 , 679.92 , 110.72 , 159.76 , 417.79 , 1.16 , 689.42 , 123.57 , 188.60 , 446.86 , 2.91 , 761.93 , 138.91 , 192.97 , 328.79 , 1.51 , 662.18 , 127.19 , 194.38 , 368.83 , 4.45 , 694.85 , 108.59 , 155.48 , 392.19 , 0.98 , 657.24 , 122.83 , 163.50 , 396.68 , 0.89 , 683.90 
03,Punjab," 4,587 "," 6,896 "," 6,701 ", 222 ," 18,406 ", 466.40 , 728.68 , 708.49 , 20.53 ," 1,924.10 ", 288.27 , 462.95 , 493.13 , 21.43 ," 1,265.78 ", 274.91 , 410.85 , 407.81 , 17.56 ," 1,111.14 ", 398.27 , 597.68 , 516.73 , 20.35 ," 1,533.03 ", 363.17 , 529.76 , 502.94 , 18.27 ," 1,414.13 ", 338.76 , 518.50 , 526.24 , 18.66 ," 1,402.16 ", 410.27 , 606.44 , 560.87 , 17.86 ," 1,595.45 ", 463.04 , 704.95 , 655.52 , 21.71 ," 1,845.22 ", 381.23 , 563.43 , 616.46 , 11.40 ," 1,572.52 ", 422.29 , 659.09 , 583.15 , 25.75 ," 1,690.28 ", 367.37 , 516.98 , 584.59 , 11.21 ," 1,480.15 ", 412.60 , 596.47 , 545.33 , 17.47 ," 1,571.87 "
04,Chandigarh, 366 , 507 ," 1,091 ", 15 ," 1,979 ", 35.28 , 48.97 , 118.23 , 0.81 , 203.29 , 21.68 , 25.50 , 81.57 , 1.21 , 129.95 , 21.01 , 28.42 , 69.64 , 1.38 , 120.45 , 30.58 , 42.03 , 95.92 , 0.38 , 168.92 , 27.83 , 38.40 , 77.52 , 0.41 , 144.17 , 28.35 , 39.18 , 84.08 , 0.72 , 152.33 , 28.46 , 38.62 , 89.38 , 1.34 , 157.80 , 35.87 , 48.94 , 92.55 , 2.30 , 179.67 , 32.09 , 47.47 , 83.80 , 0.70 , 164.06 , 37.91 , 59.54 , 93.80 , 4.71 , 195.96 , 32.88 , 45.79 , 98.79 , 0.82 , 178.28 , 33.91 , 43.75 , 105.71 , 0.38 , 183.75 
05,Uttarakhand," 2,578 "," 3,780 "," 7,235 ", 87 ," 13,680 ", 256.16 , 389.90 , 761.40 , 14.47 ," 1,421.94 ", 156.33 , 224.74 , 503.27 , 9.07 , 893.42 , 154.89 , 209.14 , 332.49 , 5.77 , 702.29 , 226.84 , 313.22 , 558.27 , 7.30 ," 1,105.63 ", 213.29 , 303.17 , 566.18 , 6.84 ," 1,089.49 ", 211.78 , 288.42 , 626.13 , 4.33 ," 1,130.66 ", 222.92 , 355.77 , 678.11 , 2.53 ," 1,259.33 ", 233.41 , 356.99 , 665.76 , 7.11 ," 1,263.27 ", 211.90 , 317.91 , 539.13 , 7.57 ," 1,076.51 ", 242.60 , 360.92 , 693.35 , 9.22 ," 1,306.09 ", 226.34 , 332.38 , 613.26 , 3.63 ," 1,175.61 ", 221.13 , 327.54 , 697.51 , 9.15 ," 1,255.33 "
06,Haryana," 11,269 "," 15,116 "," 36,780 "," 4,977 "," 68,142 "," 1,038.46 "," 1,450.92 "," 3,677.26 ", 491.67 ," 6,658.31 ", 722.18 , 921.83 ," 2,591.74 ", 427.23 ," 4,662.99 ", 678.70 , 870.28 ," 2,096.92 ", 155.09 ," 3,800.99 ", 944.68 ," 1,259.80 "," 2,700.66 ", 424.50 ," 5,329.64 ", 941.23 ," 1,287.06 "," 2,902.08 ", 487.29 ," 5,617.66 ", 896.25 ," 1,197.52 "," 3,078.68 ", 404.64 ," 5,577.09 ", 954.53 ," 1,229.02 "," 3,102.35 ", 319.61 ," 5,605.52 ", 999.80 ," 1,377.16 "," 3,197.72 ", 440.86 ," 6,015.54 ", 946.75 ," 1,298.19 "," 3,201.61 ", 426.65 ," 5,873.20 "," 1,038.75 "," 1,420.77 "," 3,470.79 ", 489.40 ," 6,419.71 "," 1,050.37 "," 1,399.91 "," 3,008.60 ", 469.29 ," 5,928.17 "," 1,057.60 "," 1,403.64 "," 3,751.21 ", 441.08 ," 6,653.53 "
07,Delhi," 9,292 "," 11,329 "," 24,609 "," 1,022 "," 46,253 "," 1,146.10 "," 1,375.87 "," 2,449.03 ", 82.29 ," 5,053.29 ", 538.04 , 624.07 ," 1,533.24 ", 75.48 ," 2,770.82 ", 497.13 , 601.89 ," 1,494.28 ", 62.32 ," 2,655.62 ", 773.76 , 947.34 ," 2,040.37 ", 53.59 ," 3,815.06 ", 721.39 , 876.01 ," 1,926.19 ", 81.89 ," 3,605.48 ", 695.21 , 849.50 ," 1,972.24 ", 87.77 ," 3,604.71 ", 835.68 ," 1,012.64 "," 2,106.29 ", 90.17 ," 4,044.79 ", 877.51 ," 1,087.95 "," 2,323.12 ", 98.33 ," 4,386.92 ", 741.01 , 924.64 ," 2,002.74 ", 85.40 ," 3,753.79 ", 870.82 ," 1,104.48 "," 2,454.72 ", 98.71 ," 4,528.73 ", 777.90 , 939.01 ," 2,103.11 ", 101.63 ," 3,921.65 ", 817.25 , 985.54 ," 2,204.14 ", 104.79 ," 4,111.72 "
