REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data upto : 30th  Sep 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State CD,State,Financial Year (up to the Month - Sep 2025),,,,,Apr-25,,,,,May-25,,,,,Jun-25,,,,,Jul-25,,,,,Aug-25,,,,,Sep-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jammu and Kashmir," 1,123 "," 1,542 "," 1,160 ", 79 ," 3,904 ", 277 , 376 , 214 , 12 , 880 , 138 , 202 , 225 , 13 , 578 , 157 , 214 , 181 , 14 , 566 , 153 , 224 , 204 , 18 , 599 , 162 , 235 , 171 , 14 , 582 , 235 , 291 , 165 , 8 , 699 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Himachal Pradesh, 996 ," 1,383 "," 3,067 ", 40 ," 5,486 ", 233 , 315 , 541 , 6 ," 1,094 ", 149 , 204 , 489 , 8 , 849 , 153 , 214 , 528 , 8 , 902 , 173 , 244 , 525 , 8 , 950 , 148 , 210 , 507 , 6 , 871 , 141 , 195 , 478 , 4 , 819 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Punjab," 3,503 "," 4,967 "," 5,762 ", 233 ," 14,465 ", 768 ," 1,082 "," 1,213 ", 41 ," 3,104 ", 554 , 797 ," 1,014 ", 47 ," 2,414 ", 540 , 783 , 864 , 46 ," 2,232 ", 590 , 816 , 876 , 41 ," 2,323 ", 536 , 750 , 882 , 31 ," 2,199 ", 516 , 738 , 913 , 27 ," 2,194 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chandigarh, 296 , 372 , 900 , 14 ," 1,583 ", 63 , 79 , 190 , 2 , 334 , 52 , 60 , 250 , 1 , 363 , 44 , 59 , 112 , 5 , 220 , 47 , 60 , 113 , 2 , 221 , 46 , 61 , 105 , 2 , 214 , 45 , 55 , 129 , 2 , 231 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Uttarakhand," 2,222 "," 3,292 "," 5,205 ", 73 ," 10,793 ", 541 , 721 ," 1,313 ", 17 ," 2,592 ", 347 , 519 , 729 , 11 ," 1,605 ", 360 , 549 , 778 , 11 ," 1,699 ", 376 , 524 , 862 , 12 ," 1,774 ", 295 , 493 , 647 , 12 ," 1,448 ", 302 , 487 , 877 , 10 ," 1,675 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Haryana," 10,017 "," 12,700 "," 37,783 "," 4,090 "," 64,589 "," 1,989 "," 2,515 "," 8,820 ", 733 ," 14,057 "," 1,667 "," 2,081 "," 5,731 ", 692 ," 10,170 "," 1,639 "," 2,120 "," 5,478 ", 723 ," 9,959 "," 1,629 "," 2,050 "," 5,823 ", 646 ," 10,149 "," 1,547 "," 1,998 "," 5,532 ", 605 ," 9,681 "," 1,546 "," 1,938 "," 6,398 ", 691 ," 10,573 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Delhi," 8,818 "," 10,103 "," 22,395 ", 473 ," 41,788 "," 1,754 "," 2,062 "," 4,380 ", 64 ," 8,260 "," 2,362 "," 2,546 "," 5,381 ", 77 ," 10,366 "," 1,135 "," 1,316 "," 3,075 ", 83 ," 5,610 "," 1,163 "," 1,424 "," 3,386 ", 83 ," 6,057 "," 1,183 "," 1,361 "," 3,096 ", 86 ," 5,725 "," 1,221 "," 1,395 "," 3,076 ", 79 ," 5,771 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rajasthan," 7,578 "," 9,700 "," 10,646 ", 875 ," 28,798 "," 1,765 "," 2,091 "," 2,193 ", 178 ," 6,228 "," 1,211 "," 1,576 "," 1,915 ", 135 ," 4,837 "," 1,126 "," 1,515 "," 1,739 ", 142 ," 4,522 "," 1,220 "," 1,581 "," 1,604 ", 160 ," 4,564 "," 1,123 "," 1,480 "," 1,619 ", 119 ," 4,342 "," 1,133 "," 1,457 "," 1,576 ", 141 ," 4,306 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Uttar Pradesh," 14,021 "," 18,495 "," 18,611 "," 8,665 "," 59,792 "," 3,354 "," 4,315 "," 4,527 "," 1,404 "," 13,600 "," 2,100 "," 2,818 "," 2,814 "," 1,398 "," 9,130 "," 2,159 "," 2,912 "," 2,604 "," 1,574 "," 9,248 "," 2,305 "," 3,128 "," 2,928 "," 1,399 "," 9,760 "," 2,126 "," 2,736 "," 2,786 "," 1,439 "," 9,086 "," 1,976 "," 2,587 "," 2,952 "," 1,451 "," 8,967 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bihar," 3,003 "," 5,247 "," 1,885 "," 1,017 "," 11,152 ", 729 ," 1,105 ", 311 , 146 ," 2,290 ", 419 , 765 , 515 , 172 ," 1,871 ", 448 , 842 , 238 , 180 ," 1,709 ", 488 , 911 , 224 , 190 ," 1,813 ", 465 , 841 , 246 , 166 ," 1,717 ", 454 , 784 , 351 , 163 ," 1,753 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sikkim, 217 , 281 ," 2,011 ", 1 ," 2,510 ", 73 , 92 , 306 , 0 , 470 , 37 , 43 , 345 , 0 , 424 , 23 , 31 , 310 , 0 , 364 , 31 , 38 , 332 , 0 , 401 , 30 , 47 , 377 , 0 , 454 , 24 , 31 , 341 , 0 , 396 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh, 340 , 416 , 83 , 1 , 841 , 141 , 163 , 28 , 0 , 332 , 60 , 78 , 12 , 1 , 151 , 34 , 47 , 7 , 0 , 88 , 36 , 43 , 9 , 0 , 88 , 36 , 41 , 12 , 0 , 88 , 33 , 45 , 15 , 0 , 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nagaland, 168 , 211 , 66 , 10 , 454 , 47 , 58 , 16 , 1 , 122 , 25 , 30 , 9 , 2 , 65 , 33 , 42 , 9 , 1 , 84 , 23 , 33 , 12 , 3 , 70 , 20 , 24 , 10 , 2 , 56 , 21 , 24 , 10 , 1 , 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Manipur, 154 , 197 , 50 , 1 , 402 , 49 , 61 , 11 , 0 , 121 , 50 , 61 , 8 , 0 , 118 , 14 , 19 , 7 , 0 , 40 , 14 , 21 , 8 , 0 , 43 , 15 , 19 , 8 , 0 , 42 , 12 , 18 , 8 , 0 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mizoram, 75 , 115 , 36 , 1 , 227 , 27 , 45 , 6 , 0 , 78 , 10 , 13 , 5 , 0 , 29 , 10 , 15 , 5 , 0 , 30 , 10 , 15 , 6 , 0 , 31 , 9 , 13 , 7 , 0 , 30 , 9 , 14 , 7 , 0 , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tripura, 226 , 290 , 90 , 1 , 606 , 58 , 75 , 17 , 0 , 149 , 33 , 44 , 15 , 0 , 92 , 33 , 43 , 11 , 0 , 87 , 38 , 47 , 16 , 0 , 101 , 33 , 40 , 13 , 0 , 87 , 32 , 40 , 17 , 0 , 90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Meghalaya, 292 , 353 , 655 , 16 ," 1,316 ", 100 , 118 , 131 , 1 , 350 , 40 , 49 , 121 , 3 , 212 , 28 , 36 , 106 , 3 , 172 , 43 , 51 , 78 , 5 , 178 , 40 , 47 , 120 , 2 , 209 , 41 , 51 , 99 , 3 , 194 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Assam," 2,693 "," 3,501 "," 2,606 ", 696 ," 9,496 ", 652 , 828 , 499 , 147 ," 2,127 ", 404 , 545 , 553 , 90 ," 1,592 ", 392 , 522 , 358 , 132 ," 1,405 ", 424 , 566 , 366 , 115 ," 1,470 ", 444 , 562 , 397 , 92 ," 1,496 ", 377 , 477 , 433 , 120 ," 1,407 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,West Bengal," 10,532 "," 12,780 "," 10,942 "," 2,856 "," 37,110 "," 2,385 "," 2,860 "," 2,371 ", 572 ," 8,188 "," 1,581 "," 1,970 "," 2,320 ", 451 ," 6,321 "," 1,565 "," 1,970 "," 1,496 ", 520 ," 5,551 "," 1,728 "," 2,070 "," 1,673 ", 424 ," 5,895 "," 1,615 "," 1,931 "," 1,491 ", 435 ," 5,473 "," 1,658 "," 1,979 "," 1,591 ", 453 ," 5,682 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jharkhand," 3,713 "," 4,816 "," 6,807 "," 3,550 "," 18,887 ", 847 ," 1,086 "," 1,525 ", 709 ," 4,167 ", 538 , 744 , 958 , 666 ," 2,907 ", 610 , 781 ," 1,037 ", 658 ," 3,086 ", 570 , 752 ," 1,184 ", 533 ," 3,040 ", 587 , 752 ," 1,005 ", 476 ," 2,820 ", 561 , 701 ," 1,098 ", 507 ," 2,867 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Odisha," 7,214 "," 9,220 "," 9,623 "," 5,190 "," 31,247 "," 1,548 "," 1,931 "," 1,794 ", 902 ," 6,174 "," 1,139 "," 1,462 "," 1,662 ", 845 ," 5,108 "," 1,198 "," 1,506 "," 1,498 ", 876 ," 5,079 "," 1,193 "," 1,527 "," 1,429 ", 842 ," 4,991 "," 1,096 "," 1,452 "," 1,659 ", 824 ," 5,030 "," 1,041 "," 1,341 "," 1,582 ", 901 ," 4,865 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chhattisgarh," 3,845 "," 4,581 "," 6,883 "," 3,923 "," 19,233 ", 889 , 945 ," 1,603 ", 698 ," 4,135 ", 537 , 714 , 972 , 668 ," 2,891 ", 640 , 746 ," 1,204 ", 685 ," 3,276 ", 636 , 774 ," 1,065 ", 705 ," 3,180 ", 574 , 720 , 944 , 572 ," 2,809 ", 570 , 681 ," 1,096 ", 595 ," 2,942 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Madhya Pradesh," 6,031 "," 7,501 "," 6,998 "," 4,191 "," 24,721 "," 1,378 "," 1,682 "," 1,508 ", 733 ," 5,302 ", 867 ," 1,102 "," 1,051 ", 713 ," 3,733 ", 928 ," 1,168 "," 1,078 ", 715 ," 3,889 "," 1,106 "," 1,362 "," 1,171 ", 690 ," 4,329 ", 905 ," 1,129 "," 1,053 ", 644 ," 3,731 ", 848 ," 1,058 "," 1,136 ", 695 ," 3,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gujarat," 20,445 "," 24,550 "," 22,738 "," 3,333 "," 71,066 "," 4,582 "," 5,281 "," 4,525 ", 582 ," 14,970 "," 3,200 "," 3,898 "," 4,016 ", 624 ," 11,737 "," 3,142 "," 3,791 "," 3,559 ", 549 ," 11,040 "," 3,334 "," 4,006 "," 3,501 ", 518 ," 11,358 "," 3,130 "," 3,882 "," 3,470 ", 510 ," 10,992 "," 3,058 "," 3,693 "," 3,668 ", 550 ," 10,969 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Daman and Diu, 0 , 0 , 0 , -   , 0 , -   , -   , 0 , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 0 , 0 , -   , -   , 0 , -   , -   , 0 , -   , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dadra and Nagar Haveli, 326 , 390 ," 1,664 ", 6 ," 2,386 ", 72 , 85 , 338 , 0 , 495 , 45 , 56 , 250 , 0 , 351 , 49 , 59 , 303 , 0 , 410 , 58 , 64 , 272 , 1 , 395 , 50 , 62 , 251 , 3 , 365 , 53 , 64 , 250 , 2 , 369 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
