REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2017-18 ,,,,,Jul-17,,,,,Aug-17,,,,,Sep-17,,,,,Oct-17,,,,,Nov-17,,,,,Dec-17,,,,,Jan-18,,,,,Feb-18,,,,,Mar-18,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
1,Jammu and Kashmir, 566 ," 1,001 ", 706 , 47 ," 2,320 ", 0 , 0 , 0 , 0 , 0 , 50 , 103 , 95 , 17 , 265 , 71 , 137 , 107 , 5 , 320 , 63 , 113 , 108 , 3 , 288 , 66 , 120 , 100 , 13 , 299 , 86 , 144 , 84 , 1 , 315 , 92 , 145 , 65 , 4 , 306 , 72 , 125 , 71 , 2 , 269 , 66 , 114 , 76 , 2 , 258 
2,Himachal Pradesh, 616 , 982 ," 3,702 ", 10 ," 5,309 ", 0 , 0 , 0 , 0 , 0 , 88 , 134 , 601 , 1 , 823 , 90 , 135 , 519 , 2 , 746 , 71 , 133 , 495 , 2 , 700 , 70 , 118 , 460 , 1 , 649 , 74 , 110 , 433 , 1 , 618 , 78 , 125 , 394 , 2 , 600 , 71 , 107 , 383 , 1 , 562 , 73 , 120 , 418 , 1 , 611 
3,Punjab," 2,060 "," 3,601 "," 3,894 ", 87 ," 9,643 ", 0 , 1 , 2 , 0 , 3 , 313 , 577 , 618 , 13 ," 1,522 ", 276 , 492 , 507 , 14 ," 1,289 ", 264 , 478 , 522 , 13 ," 1,277 ", 246 , 443 , 505 , 11 ," 1,205 ", 226 , 390 , 456 , 6 ," 1,077 ", 240 , 424 , 411 , 13 ," 1,088 ", 240 , 385 , 428 , 8 ," 1,061 ", 255 , 411 , 445 , 10 ," 1,121 "
4,Chandigarh, 239 , 346 , 580 , 6 ," 1,170 ", 0 , 0 , 0 , -   , 0 , 40 , 59 , 76 , 0 , 175 , 32 , 44 , 71 , 1 , 148 , 29 , 42 , 72 , 1 , 145 , 30 , 46 , 69 , 1 , 145 , 27 , 38 , 67 , 1 , 132 , 27 , 42 , 78 , 1 , 148 , 28 , 41 , 72 , 0 , 141 , 26 , 36 , 74 , 0 , 136 
5,Uttarakhand," 1,177 "," 2,289 "," 7,357 ", 145 ," 10,967 ", 0 , 0 , 0 , 0 , 0 , 150 , 285 ," 1,242 ", 15 ," 1,693 ", 150 , 308 , 999 , 15 ," 1,471 ", 143 , 279 ," 1,241 ", 23 ," 1,686 ", 144 , 307 , 763 , 24 ," 1,238 ", 132 , 264 , 778 , 12 ," 1,186 ", 154 , 269 , 825 , 14 ," 1,262 ", 141 , 274 , 731 , 21 ," 1,166 ", 162 , 303 , 778 , 21 ," 1,264 "
6,Haryana," 5,372 "," 8,536 "," 20,113 "," 2,795 "," 36,815 ", 0 , 0 , 1 , 0 , 1 , 800 ," 1,272 "," 2,257 ", 343 ," 4,671 ", 748 ," 1,148 "," 3,181 ", 363 ," 5,440 ", 700 ," 1,144 "," 2,850 ", 369 ," 5,063 ", 642 ," 1,063 "," 2,590 ", 374 ," 4,669 ", 603 , 968 ," 2,168 ", 340 ," 4,080 ", 610 , 966 ," 2,376 ", 311 ," 4,263 ", 602 , 942 ," 2,471 ", 340 ," 4,356 ", 666 ," 1,033 "," 2,219 ", 354 ," 4,272 "
7,Delhi," 5,899 "," 7,965 "," 11,834 ", 746 ," 26,445 ", 1 , 1 , 2 , 0 , 3 , 733 ," 1,051 "," 1,381 ", 90 ," 3,255 ", 745 ," 1,021 "," 1,535 ", 103 ," 3,405 ", 760 ," 1,069 "," 1,589 ", 109 ," 3,527 ", 678 , 951 ," 1,490 ", 112 ," 3,232 ", 646 , 860 ," 1,451 ", 94 ," 3,050 ", 825 ," 1,100 "," 1,596 ", 81 ," 3,603 ", 703 , 930 ," 1,402 ", 85 ," 3,121 ", 807 , 982 ," 1,387 ", 73 ," 3,249 "
