REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2022-2023,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2022-23 ,,,,,Apr-22,,,,,May-22,,,,,Jun-22,,,,,Jul-22,,,,,Aug-22,,,,,Sep-22,,,,,Oct-22,,,,,Nov-22,,,,,Dec-22,,,,,Jan-23,,,,,Feb-23,,,,,Mar-23,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
01,Jammu and Kashmir," 1,532 "," 2,350 "," 1,296 ", 68 ," 5,246 ", 176 , 273 , 104 , 6 , 560 , 103 , 165 , 94 , 9 , 372 , 96 , 162 , 103 , 10 , 372 , 118 , 185 , 119 , 9 , 431 , 113 , 178 , 134 , 8 , 434 , 107 , 173 , 142 , 6 , 428 , 115 , 180 , 126 , 4 , 425 , 129 , 195 , 102 , 3 , 430 , 125 , 186 , 97 , 1 , 410 , 149 , 234 , 88 , 4 , 474 , 143 , 200 , 89 , 2 , 434 , 157 , 217 , 98 , 5 , 477 
02,Himachal Pradesh," 1,669 "," 2,346 "," 4,742 ", 20 ," 8,778 ", 167 , 226 , 423 , 2 , 817 , 119 , 172 , 448 , 2 , 741 , 127 , 187 , 378 , 2 , 693 , 137 , 199 , 408 , 2 , 746 , 136 , 184 , 387 , 2 , 709 , 128 , 183 , 401 , 1 , 712 , 133 , 191 , 458 , 3 , 784 , 142 , 207 , 323 , 1 , 672 , 130 , 183 , 394 , 1 , 708 , 150 , 218 , 394 , 2 , 765 , 151 , 201 , 339 , 1 , 691 , 151 , 196 , 391 , 1 , 739 
03,Punjab," 5,058 "," 7,660 "," 7,891 ", 340 ," 20,949 ", 531 , 783 , 650 , 30 ," 1,994 ", 428 , 639 , 725 , 41 ," 1,833 ", 395 , 610 , 639 , 38 ," 1,683 ", 431 , 641 , 626 , 35 ," 1,733 ", 380 , 574 , 672 , 26 ," 1,651 ", 393 , 598 , 691 , 28 ," 1,710 ", 405 , 611 , 714 , 29 ," 1,760 ", 394 , 646 , 611 , 18 ," 1,669 ", 431 , 617 , 672 , 15 ," 1,734 ", 441 , 714 , 612 , 28 ," 1,796 ", 394 , 589 , 649 , 19 ," 1,651 ", 435 , 638 , 629 , 33 ," 1,735 "
04,Chandigarh, 461 , 629 ," 1,253 ", 22 ," 2,365 ", 45 , 61 , 141 , 2 , 249 , 32 , 43 , 87 , 5 , 167 , 32 , 45 , 92 , 1 , 170 , 36 , 48 , 91 , 1 , 176 , 36 , 46 , 97 , 0 , 179 , 42 , 56 , 107 , 1 , 206 , 40 , 51 , 110 , 1 , 203 , 35 , 50 , 89 , 1 , 175 , 37 , 50 , 130 , 0 , 218 , 46 , 75 , 104 , 8 , 234 , 39 , 51 , 97 , 0 , 188 , 40 , 52 , 110 , 1 , 202 
05,Uttarakhand," 3,315 "," 4,787 "," 8,619 ", 124 ," 16,845 ", 426 , 585 , 864 , 12 ," 1,887 ", 257 , 358 , 681 , 12 ," 1,309 ", 258 , 370 , 643 , 10 ," 1,281 ", 269 , 389 , 722 , 9 ," 1,390 ", 224 , 335 , 527 , 8 ," 1,094 ", 238 , 363 , 689 , 11 ," 1,300 ", 281 , 405 , 918 , 9 ," 1,613 ", 244 , 388 , 639 , 10 ," 1,280 ", 251 , 376 , 617 , 9 ," 1,253 ", 292 , 413 , 795 , 11 ," 1,511 ", 261 , 384 , 750 , 10 ," 1,405 ", 315 , 422 , 774 , 12 ," 1,523 "
06,Haryana," 13,730 "," 18,143 "," 48,765 "," 6,031 "," 86,668 "," 1,318 "," 1,718 "," 4,665 ", 497 ," 8,197 "," 1,106 "," 1,484 "," 3,523 ", 550 ," 6,663 "," 1,141 "," 1,487 "," 3,577 ", 508 ," 6,714 "," 1,152 "," 1,506 "," 3,651 ", 482 ," 6,791 "," 1,103 "," 1,467 "," 3,678 ", 525 ," 6,772 "," 1,066 "," 1,383 "," 4,444 ", 510 ," 7,403 "," 1,190 "," 1,612 "," 4,333 ", 527 ," 7,662 "," 1,046 "," 1,395 "," 3,880 ", 448 ," 6,769 "," 1,033 "," 1,372 "," 3,759 ", 515 ," 6,678 "," 1,183 "," 1,559 "," 4,681 ", 506 ," 7,930 "," 1,161 "," 1,564 "," 4,075 ", 509 ," 7,310 "," 1,230 "," 1,596 "," 4,499 ", 456 ," 7,780 "
07,Delhi," 11,323 "," 13,619 "," 29,878 "," 1,023 "," 55,843 "," 1,324 "," 1,579 "," 2,904 ", 64 ," 5,871 ", 799 , 996 ," 2,218 ", 101 ," 4,113 ", 853 ," 1,019 "," 2,360 ", 82 ," 4,313 ", 876 ," 1,046 "," 2,328 ", 77 ," 4,327 ", 898 ," 1,045 "," 2,322 ", 84 ," 4,349 "," 1,032 "," 1,187 "," 2,448 ", 75 ," 4,741 ", 921 ," 1,128 "," 2,538 ", 84 ," 4,670 ", 931 ," 1,127 "," 2,430 ", 78 ," 4,566 ", 859 ," 1,040 "," 2,421 ", 81 ," 4,401 ", 996 ," 1,248 "," 2,535 ", 103 ," 4,882 ", 900 ," 1,088 "," 2,690 ", 91 ," 4,769 ", 936 ," 1,115 "," 2,686 ", 103 ," 4,840 "
