REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2024-2025,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data upto : 31st Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State CD,State,Financial Year (up to the Month - Mar 2025),,,,,Apr-24,,,,,May-24,,,,,Jun-24,,,,,Jul-24,,,,,Aug-24,,,,,Sep-24,,,,,Oct-24,,,,,Nov-24,,,,,Dec-24,,,,,Jan-25,,,,,Feb-25,,,,,Mar-25,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
1,Jammu and Kashmir," 2,113 "," 2,991 "," 1,954 ", 116 ," 7,175 ", 270 , 362 , 150 , 7 , 789 , 154 , 225 , 135 , 11 , 525 , 159 , 223 , 158 , 15 , 555 , 186 , 257 , 169 , 17 , 629 , 151 , 221 , 183 , 14 , 569 , 170 , 236 , 183 , 10 , 599 , 167 , 241 , 193 , 8 , 608 , 169 , 247 , 164 , 6 , 586 , 153 , 221 , 168 , 4 , 547 , 199 , 291 , 153 , 7 , 650 , 143 , 210 , 162 , 7 , 523 , 192 , 257 , 137 , 9 , 595 
2,Himachal Pradesh," 1,945 "," 2,709 "," 5,669 ", 29 ," 10,352 ", 220 , 303 , 491 , 2 ," 1,015 ", 134 , 187 , 516 , 2 , 838 , 162 , 219 , 501 , 3 , 886 , 173 , 240 , 438 , 3 , 854 , 159 , 223 , 443 , 2 , 827 , 138 , 194 , 522 , 2 , 856 , 161 , 231 , 474 , 2 , 867 , 166 , 245 , 463 , 3 , 878 , 145 , 201 , 468 , 2 , 816 , 162 , 225 , 427 , 2 , 817 , 157 , 217 , 491 , 4 , 869 , 167 , 225 , 435 , 2 , 829 
3,Punjab," 6,495 "," 9,193 "," 10,579 ", 455 ," 26,721 ", 693 , 999 ," 1,069 ", 35 ," 2,796 ", 501 , 724 , 918 , 46 ," 2,190 ", 500 , 731 ," 1,022 ", 53 ," 2,306 ", 542 , 753 , 726 , 48 ," 2,069 ", 485 , 683 , 732 , 37 ," 1,936 ", 484 , 680 , 734 , 35 ," 1,933 ", 524 , 773 , 879 , 36 ," 2,211 ", 540 , 787 , 965 , 36 ," 2,327 ", 537 , 728 ," 1,002 ", 26 ," 2,294 ", 593 , 820 , 915 , 35 ," 2,363 ", 535 , 763 , 798 , 30 ," 2,125 ", 562 , 752 , 819 , 38 ," 2,172 "
4,Chandigarh, 582 , 777 ," 1,510 ", 46 ," 2,915 ", 55 , 75 , 178 , 4 , 313 , 42 , 54 , 138 , 3 , 237 , 45 , 60 , 116 , 3 , 224 , 45 , 63 , 124 , 1 , 233 , 50 , 64 , 129 , 1 , 244 , 41 , 53 , 100 , 2 , 197 , 46 , 59 , 137 , 1 , 243 , 52 , 73 , 121 , 6 , 253 , 49 , 66 , 103 , 6 , 224 , 58 , 82 , 123 , 9 , 271 , 48 , 61 , 122 , 5 , 236 , 52 , 67 , 119 , 3 , 241 
5,Uttarakhand," 4,046 "," 5,847 "," 10,648 ", 129 ," 20,670 ", 461 , 636 ," 1,132 ", 10 ," 2,239 ", 323 , 476 ," 1,025 ", 13 ," 1,837 ", 323 , 472 , 898 , 12 ," 1,705 ", 343 , 490 , 854 , 13 ," 1,700 ", 292 , 432 , 618 , 9 ," 1,351 ", 274 , 400 , 900 , 8 ," 1,582 ", 343 , 486 , 995 , 9 ," 1,834 ", 337 , 522 , 951 , 13 ," 1,824 ", 296 , 439 , 804 , 9 ," 1,547 ", 343 , 494 , 808 , 10 ," 1,655 ", 331 , 473 , 840 , 12 ," 1,656 ", 382 , 527 , 823 , 10 ," 1,742 "
6,Haryana," 18,165 "," 23,285 "," 70,034 "," 7,878 "," 1,19,362 "," 1,660 "," 2,172 "," 7,725 ", 611 ," 12,168 "," 1,519 "," 1,950 "," 5,209 ", 611 ," 9,289 "," 1,529 "," 1,937 "," 4,978 ", 595 ," 9,038 "," 1,364 "," 1,820 "," 5,286 ", 612 ," 9,082 "," 1,401 "," 1,786 "," 4,770 ", 666 ," 8,623 "," 1,438 "," 1,852 "," 5,973 ", 694 ," 9,957 "," 1,536 "," 1,956 "," 5,864 ", 688 ," 10,045 "," 1,512 "," 1,996 "," 5,592 ", 801 ," 9,900 "," 1,469 "," 1,811 "," 6,495 ", 628 ," 10,403 "," 1,597 "," 2,074 "," 5,900 ", 713 ," 10,284 "," 1,509 "," 1,921 "," 5,833 ", 662 ," 9,925 "," 1,632 "," 2,011 "," 6,408 ", 597 ," 10,648 "
7,Delhi," 15,156 "," 17,788 "," 42,706 "," 1,352 "," 77,002 "," 1,740 "," 2,027 "," 3,890 ", 115 ," 7,772 "," 1,287 "," 1,477 "," 4,630 ", 118 ," 7,512 "," 1,061 "," 1,257 "," 2,858 ", 114 ," 5,289 "," 1,107 "," 1,285 "," 3,457 ", 115 ," 5,964 "," 1,107 "," 1,296 "," 3,118 ", 113 ," 5,635 "," 1,166 "," 1,334 "," 3,218 ", 121 ," 5,838 "," 1,522 "," 1,739 "," 5,278 ", 121 ," 8,660 "," 1,187 "," 1,432 "," 3,565 ", 126 ," 6,311 "," 1,158 "," 1,353 "," 2,990 ", 92 ," 5,593 "," 1,300 "," 1,592 "," 3,204 ", 120 ," 6,216 "," 1,234 "," 1,455 "," 3,286 ", 100 ," 6,074 "," 1,288 "," 1,541 "," 3,212 ", 98 ," 6,139 "
8,Rajasthan," 14,639 "," 18,736 "," 19,377 "," 2,032 "," 54,785 "," 1,601 "," 1,889 "," 1,890 ", 178 ," 5,558 "," 1,199 "," 1,506 "," 1,573 ", 137 ," 4,414 "," 1,140 "," 1,458 "," 1,528 ", 128 ," 4,254 "," 1,120 "," 1,436 "," 1,665 ", 147 ," 4,369 ", 990 ," 1,280 "," 1,429 ", 121 ," 3,820 "," 1,043 "," 1,344 "," 1,419 ", 123 ," 3,929 "," 1,175 "," 1,505 "," 1,586 ", 203 ," 4,469 "," 1,220 "," 1,600 "," 1,592 ", 210 ," 4,622 "," 1,134 "," 1,419 "," 1,418 ", 175 ," 4,146 "," 1,313 "," 1,632 "," 1,778 ", 195 ," 4,918 "," 1,284 "," 1,619 "," 1,671 ", 212 ," 4,787 "," 1,420 "," 2,049 "," 1,828 ", 202 ," 5,498 "
9,Uttar Pradesh," 26,328 "," 34,845 "," 34,462 "," 16,577 "," 1,12,212 "," 3,203 "," 4,121 "," 3,606 "," 1,360 "," 12,290 "," 2,020 "," 2,736 "," 3,056 "," 1,279 "," 9,091 "," 2,202 "," 2,907 "," 3,008 "," 1,484 "," 9,601 "," 2,140 "," 2,811 "," 2,782 "," 1,392 "," 9,125 "," 1,969 "," 2,572 "," 2,425 "," 1,304 "," 8,269 "," 1,945 "," 2,528 "," 2,393 "," 1,191 "," 8,057 "," 2,137 "," 2,834 "," 3,258 "," 1,373 "," 9,602 "," 2,073 "," 2,868 "," 3,056 "," 1,435 "," 9,432 "," 1,882 "," 2,535 "," 2,341 "," 1,360 "," 8,117 "," 2,222 "," 2,995 "," 2,793 "," 1,506 "," 9,516 "," 2,081 "," 2,732 "," 2,612 "," 1,730 "," 9,155 "," 2,455 "," 3,207 "," 3,132 "," 1,163 "," 9,956 "
10,Bihar," 5,431 "," 9,925 "," 2,774 "," 2,078 "," 20,208 ", 616 , 951 , 253 , 172 ," 1,992 ", 425 , 695 , 211 , 191 ," 1,521 ", 417 , 688 , 235 , 186 ," 1,525 ", 431 , 739 , 213 , 185 ," 1,569 ", 427 , 695 , 220 , 150 ," 1,491 ", 417 , 660 , 244 , 176 ," 1,497 ", 446 , 725 , 256 , 177 ," 1,604 ", 417 , 760 , 214 , 169 ," 1,561 ", 408 , 768 , 194 , 151 ," 1,521 ", 422 , 866 , 230 , 166 ," 1,684 ", 399 , 803 , 256 , 187 ," 1,644 ", 606 ," 1,574 ", 248 , 170 ," 2,599 "
11,Sikkim, 307 , 399 ," 3,356 ", 2 ," 4,063 ", 47 , 69 , 288 , 0 , 403 , 21 , 26 , 265 , 0 , 312 , 21 , 26 , 271 , 0 , 318 , 19 , 25 , 280 , 0 , 325 , 14 , 18 , 293 , 0 , 326 , 18 , 22 , 283 , 0 , 324 , 24 , 30 , 279 , 0 , 333 , 38 , 47 , 271 , 0 , 356 , 29 , 38 , 262 , 0 , 329 , 27 , 37 , 293 , 0 , 357 , 22 , 27 , 282 , 0 , 332 , 27 , 33 , 289 , 0 , 349 
