Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2017-07-03,960.6470947265625,962.7035713554026,946.0765662997845,956.490343462658,823810
2017-07-04,952.2020874023438,973.117126136521,948.482889752991,966.4663469990254,938993
2017-07-05,959.7281494140625,960.8658292823173,946.9079394282408,951.2396688796712,364842
2017-07-06,956.0527954101562,959.72819592133,950.7146730203447,959.72819592133,653440
2017-07-07,960.6030883789062,971.2794376147633,953.6898416567974,954.7399253343784,780216
2017-07-10,959.3344116210938,966.9477867988388,953.865002204782,964.8038210374057,123910
2017-07-11,968.2606201171875,973.9488069385578,959.9909143143486,964.3664426384796,1088867
2017-07-12,990.313232421875,996.220194976229,966.9916477868398,971.3671756048798,1749266
2017-07-13,992.9821166992188,997.532729158209,989.7442692466497,992.9821166992188,1390586
2017-07-14,997.0077514648438,1001.9520121427329,984.7562743101951,993.2447550375832,1430776
2017-07-17,1008.9527587890625,1011.621873069739,988.9129299810188,997.6201862452443,1177146
2017-07-18,1013.2406616210938,1023.6982341681822,1004.0083646970207,1009.2151985607542,3322231
2017-07-19,1010.1777954101562,1045.7946456985237,993.6820816459903,1041.3753211437504,4799441
2017-07-20,1008.9091796875,1016.0413110708815,1001.995824685054,1011.1406346784003,1295206
2017-07-21,1013.94091796875,1018.7976889633578,1001.995707600598,1014.1596943241213,1690899
2017-07-24,1014.5535278320312,1018.8853640994621,1009.9155328325726,1016.8725787439608,1102676
2017-07-25,1006.0213623046875,1015.9975873698423,1000.2456867904649,1011.228304646407,1686360
2017-07-26,1019.10400390625,1021.2479693383455,998.801495176957,1009.8715994999577,1563285
2017-07-27,1025.5360107421875,1043.5193621110795,1017.0037333324864,1018.4476785666977,2090566
2017-07-28,1009.740234375,1022.6480376181972,999.0201943933615,1022.6480376181972,860381
2017-07-31,1011.4028930664062,1017.3973426662777,999.4576850345569,1015.0782923880347,955459
2017-08-01,1027.3299560546875,1029.9115811156446,1009.8716458088065,1009.8716458088065,1359063
2017-08-02,1022.7797241210938,1028.2491344105115,1014.8599752922491,1027.3740287642045,587711
2017-08-03,1023.7858276367188,1032.2743072771116,1013.3720520239266,1019.9353425163096,597333
2017-08-04,1043.2132568359375,1046.8887640716273,1016.8726023566401,1016.8726023566401,1116836
2017-08-07,1038.1373291015625,1044.0879802959337,1025.0544424230627,1026.498387350705,868190
2017-08-08,1042.2508544921875,1058.002756575193,1033.4997977794067,1034.1123290195324,1329938
2017-08-09,1037.30615234375,1046.1884934143202,1029.4302038362396,1040.9378610759798,833002
2017-08-10,1024.48583984375,1035.774720767181,1020.5478655791385,1028.1175485859917,699787
2017-08-11,1008.8215942382812,1028.0739139235584,1000.7268689160625,1015.1661086800203,861457
2017-08-14,1011.359375,1023.7859370887243,1003.9209783134005,1010.309291138711,526828
2017-08-16,1038.18115234375,1041.9003498725244,1007.2462013222304,1007.2462013222304,1366648
2017-08-17,1030.2618408203125,1037.0001110484152,1019.4979994695391,1037.0001110484152,961319
2017-08-18,1052.0517578125,1055.639775714394,1023.3920535471873,1023.8734042875093,1407292
2017-08-21,1042.6444091796875,1057.1274479891003,1034.6809704645177,1052.1393893500385,965962
2017-08-22,1049.776123046875,1056.5581880011855,1039.6687225966796,1055.6393916826369,916218
2017-08-23,1039.756591796875,1046.144797671645,1035.2497772343984,1045.8385321201831,831796
