Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2017-07-03,239.79617309570312,248.40784211505738,238.25588034474333,242.24664892191387,48892799
2017-07-04,236.1204376220703,240.46126406118577,235.42029859916747,240.00618368148452,11664585
2017-07-05,231.77964782714844,236.54056287056306,231.21952320669013,236.12047495254552,12439637
2017-07-06,236.01544189453125,237.17066142554899,231.95466617532279,234.0550612882089,13946670
2017-07-07,234.05511474609375,236.7856423300769,233.17994621761991,236.64562779153403,10301830
2017-07-10,233.3549346923828,234.545169008475,231.74463464478535,232.75983972364162,1316454
2017-07-11,231.32460021972656,234.580237980289,231.04454893752387,234.54522324902243,8657755
2017-07-12,230.2393035888672,233.5649474086966,229.2241208351173,229.92425987970802,10643992
2017-07-13,237.17068481445312,237.69579473911094,231.7446450799814,232.4447842497565,18165609
2017-07-14,236.0504608154297,238.01084145662946,234.40514610355936,238.01084145662946,5801768
2017-07-17,227.6488494873047,234.54517467766988,224.5332491077002,234.54517467766988,21102802
2017-07-18,199.223388671875,204.89448743265862,193.51729737360475,204.89448743265862,155236591
2017-07-19,204.0543212890625,205.0695042219923,200.37859620352083,201.49882331044657,40641441
2017-07-20,202.68907165527344,206.46979679692635,201.91890298466492,205.8396648453305,15896377
2017-07-21,202.26898193359375,204.26435538439654,200.62366699332605,204.089326129129,13681787
2017-07-24,205.3145751953125,206.78483869029435,201.70887934345515,203.03912831001358,18479650
2017-07-25,204.019287109375,206.64479209765088,203.63421393200002,206.53977012297554,9927828
2017-07-26,205.59461975097656,206.01468551188418,204.08931938891376,204.4394000771943,9564282
2017-07-27,202.02392578125,206.8198561342513,200.76368406234621,206.32976089971606,19620418
2017-07-28,204.1243133544922,206.3647452122647,201.04370568173988,206.04967928164726,19206912
2017-07-31,199.71347045898438,203.24915881213735,199.18838272826045,202.6890563569762,22065527
2017-08-01,201.5338134765625,202.0239086695861,199.5384401695201,199.74848413643102,14063559
2017-08-02,199.85350036621094,202.96910067731318,199.04833924600115,202.8990712308219,10247374
2017-08-03,197.01795959472656,199.81849408282088,196.49284967038753,199.53844285294204,10592033
2017-08-04,196.5628662109375,199.11836431453136,195.79271974508293,196.3178296942142,11717562
2017-08-07,195.93275451660156,198.13817190244959,195.6527032762801,197.15798146667117,8776750
2017-08-08,191.9419708251953,197.01795186726,191.48689036815466,196.10776876387365,13231816
2017-08-09,191.03179931640625,192.8171509081889,189.31647717557647,191.8369604879129,10291858
2017-08-10,191.20684814453125,192.29203834781103,189.5615110985002,190.89178218746324,10380837
2017-08-11,190.0866241455078,192.15202697887517,189.10643372253028,189.7365656470043,14964550
2017-08-14,189.91160583496094,192.11702331903678,189.38649586765348,192.11702331903678,10066349
2017-08-16,195.47764587402344,197.26297504763085,189.98157727994672,190.43665770626964,19412233
2017-08-17,196.0377655029297,198.06815352328633,194.56747993178064,197.33302183236455,14231781
2017-08-18,197.33302307128906,198.83830118664832,193.79733473352007,195.51265681597727,15442589
2017-08-21,197.157958984375,199.53842753961797,196.70287854440969,197.68306886841512,13592218
2017-08-22,198.06814575195312,199.53843126541457,196.2827943021847,197.43803606864373,12417415
2017-08-23,197.8231201171875,199.95853015383682,197.15797348538027,198.4882445596889,9084531
2017-08-24,197.0529327392578,198.48822566144327,196.8078962582162,197.43802810541524,11235986
2017-08-28,197.75308227539062,198.13815547256516,195.5476650724188,197.50804578141816,10358573
2017-08-29,196.21279907226562,198.0681578918294,195.61768188586723,197.68308467584293,6377756
2017-08-30,197.4380340576172,198.06814373450857,196.4578437252934,196.84291691375603,6785885
